2025-04-22 00:58:32,857 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3696 bytes
2025-04-22 00:58:33,368 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3591 bytes
2025-04-22 00:58:33,902 - workload_generator - INFO - Throughput: 877.04 msgs/sec, 2.93 MB/sec
2025-04-22 00:58:33,903 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3439 bytes
2025-04-22 00:58:34,423 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3498 bytes
2025-04-22 00:58:34,998 - workload_generator - INFO - Throughput: 878.75 msgs/sec, 2.93 MB/sec
2025-04-22 00:58:34,999 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3508 bytes
2025-04-22 00:58:35,526 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3502 bytes
2025-04-22 00:58:36,040 - workload_generator - INFO - Throughput: 882.28 msgs/sec, 2.95 MB/sec
2025-04-22 00:58:36,041 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3461 bytes
2025-04-22 00:58:36,566 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3489 bytes
2025-04-22 00:58:37,103 - workload_generator - INFO - Throughput: 884.81 msgs/sec, 2.96 MB/sec
2025-04-22 00:58:37,103 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3473 bytes
2025-04-22 00:58:37,638 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3485 bytes
2025-04-22 00:58:38,150 - workload_generator - INFO - Throughput: 887.63 msgs/sec, 2.96 MB/sec
2025-04-22 00:58:38,151 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3551 bytes
2025-04-22 00:58:38,685 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3512 bytes
2025-04-22 00:58:39,217 - workload_generator - INFO - Throughput: 889.60 msgs/sec, 2.97 MB/sec
2025-04-22 00:58:39,218 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3531 bytes
2025-04-22 00:58:39,762 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3384 bytes
2025-04-22 00:58:40,275 - workload_generator - INFO - Throughput: 891.68 msgs/sec, 2.98 MB/sec
2025-04-22 00:58:40,276 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3534 bytes
2025-04-22 00:58:40,817 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3398 bytes
2025-04-22 00:58:41,356 - workload_generator - INFO - Throughput: 892.95 msgs/sec, 2.98 MB/sec
2025-04-22 00:58:41,356 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3558 bytes
2025-04-22 00:58:41,886 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3489 bytes
2025-04-22 00:58:42,416 - workload_generator - INFO - Throughput: 894.71 msgs/sec, 2.99 MB/sec
2025-04-22 00:58:42,416 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3351 bytes
2025-04-22 00:58:42,948 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3433 bytes
2025-04-22 00:58:43,487 - workload_generator - INFO - Throughput: 896.04 msgs/sec, 2.99 MB/sec
